Linux 5.15.0-186-generic (iZl4v9npj0k1gf7mzt23hcZ) 	08/20/2026 	_x86_64_	(4 CPU)

01:53:52 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:53 PM  all    3.19    0.00    0.74   88.94    0.00    0.25    0.00    0.00    0.00    6.88
01:53:54 PM  all    0.76    0.00    0.00   93.89    0.00    0.00    0.00    0.00    0.00    5.34
01:53:55 PM  all    0.25    0.00    0.00   90.84    0.00    0.00    0.00    0.00    0.00    8.91
01:53:56 PM  all    1.50    0.00    0.50   94.74    0.00    0.25    0.00    0.00    0.00    3.01
01:53:57 PM  all    2.23    0.00    0.74   95.05    0.00    0.25    0.00    0.00    0.00    1.73
01:53:58 PM  all    2.00    0.00    0.25   91.75    0.00    0.25    0.00    0.00    0.00    5.75
01:53:59 PM  all    0.51    0.00    1.01   94.95    0.00    0.00    0.00    0.00    0.00    3.54
01:54:00 PM  all    0.76    0.00    0.00   95.69    0.00    0.00    0.00    0.00    0.00    3.55
01:54:01 PM  all    1.50    0.00    0.50   91.48    0.00    0.50    0.00    0.00    0.00    6.02
01:54:02 PM  all    1.75    0.00    0.50   93.27    0.00    0.50    0.00    0.00    0.00    3.99
01:54:03 PM  all    0.51    0.00    0.25   96.46    0.00    0.25    0.00    0.00    0.00    2.53
01:54:04 PM  all    0.76    0.00    0.00   98.48    0.00    0.00    0.00    0.00    0.00    0.76
01:54:05 PM  all    0.76    0.00    0.51   91.41    0.00    0.25    0.00    0.00    0.00    7.07
01:54:06 PM  all    2.00    0.00    0.25   92.52    0.00    0.25    0.00    0.00    0.00    4.99
01:54:07 PM  all    1.02    0.00    0.00   89.59    0.00    0.00    0.00    0.00    0.00    9.39
01:54:08 PM  all    1.26    0.00    0.00   95.71    0.00    0.00    0.00    0.00    0.00    3.03
01:54:09 PM  all    0.25    0.00    0.00   98.98    0.00    0.00    0.00    0.00    0.00    0.76
01:54:10 PM  all    1.50    0.00    0.50   93.75    0.00    0.50    0.00    0.00    0.00    3.75
01:54:11 PM  all    2.48    0.00    0.74   93.30    0.00    0.00    0.00    0.00    0.00    3.47
01:54:12 PM  all    1.26    0.00    0.25   94.72    0.00    0.00    0.00    0.00    0.00    3.77
01:54:13 PM  all    0.51    0.00    0.00   94.70    0.00    0.51    0.00    0.00    0.00    4.29
01:54:14 PM  all    1.27    0.00    0.00   97.46    0.00    0.00    0.00    0.00    0.00    1.27
01:54:15 PM  all    2.49    0.00    0.25   92.54    0.00    0.25    0.00    0.00    0.00    4.48
01:54:16 PM  all    1.75    0.00    0.25   94.25    0.00    0.00    0.00    0.00    0.00    3.75
01:54:17 PM  all    0.76    0.00    0.51   95.71    0.00    0.00    0.00    0.00    0.00    3.03
01:54:18 PM  all    0.76    0.00    0.50   91.44    0.00    0.25    0.00    0.00    0.00    7.05
01:54:19 PM  all    1.76    0.00    0.00   94.96    0.00    0.00    0.00    0.00    0.00    3.27
01:54:20 PM  all    4.07    0.00    2.15   87.32    0.00    0.24    0.00    0.00    0.00    6.22
01:54:21 PM  all    1.01    0.00    0.25   94.19    0.00    0.00    0.00    0.00    0.00    4.55
01:54:22 PM  all    0.51    0.00    0.00   95.94    0.00    0.25    0.00    0.00    0.00    3.30
01:54:23 PM  all    0.25    0.00    0.25   82.07    0.00    0.00    0.00    0.00    0.00   17.42
01:54:24 PM  all    0.00    0.00    0.00   77.14    0.00    0.25    0.00    0.00    0.00   22.61
01:54:25 PM  all    0.25    0.00    0.25   80.90    0.00    0.00    0.00    0.00    0.00   18.59
01:54:26 PM  all    0.00    0.00    0.25   71.93    0.00    0.75    0.00    0.00    0.00   27.07
01:54:27 PM  all    0.25    0.00    0.50   72.11    0.00    0.00    0.00    0.00    0.00   27.14
01:54:28 PM  all    0.25    0.00    0.50   68.33    0.00    0.25    0.00    0.00    0.00   30.67
01:54:29 PM  all    0.00    0.00    0.00   75.63    0.00    0.25    0.00    0.00    0.00   24.12
01:54:30 PM  all    0.25    0.00    0.25   87.19    0.00    0.00    0.00    0.00    0.00   12.31
01:54:31 PM  all    0.25    0.00    0.50   83.92    0.00    0.00    0.00    0.00    0.00   15.33
01:54:32 PM  all    0.25    0.00    0.00   65.08    0.00    0.25    0.00    0.00    0.00   34.42
01:54:33 PM  all    0.25    0.00    0.75   60.50    0.00    0.00    0.00    0.00    0.00   38.50
01:54:34 PM  all    0.25    0.00    0.50   66.42    0.00    0.00    0.00    0.00    0.00   32.83
01:54:35 PM  all    0.00    0.00    0.00   72.47    0.00    0.25    0.00    0.00    0.00   27.27
01:54:36 PM  all    0.25    0.00    0.25   73.62    0.00    0.00    0.00    0.00    0.00   25.88
01:54:37 PM  all    0.00    0.00    0.50   64.57    0.00    0.00    0.00    0.00    0.00   34.92
01:54:38 PM  all    0.00    0.00    0.00   49.87    0.00    0.00    0.00    0.00    0.00   50.13
01:54:39 PM  all    0.00    0.00    0.75   52.62    0.00    0.25    0.00    0.00    0.00   46.38
01:54:40 PM  all    0.00    0.00    0.25   67.09    0.00    0.25    0.00    0.00    0.00   32.41
01:54:41 PM  all    0.25    0.00    0.00   67.00    0.00    0.00    0.00    0.00    0.00   32.75
01:54:42 PM  all    0.00    0.00    0.25   70.60    0.00    0.00    0.00    0.00    0.00   29.15
01:54:43 PM  all    0.25    0.00    0.25   63.80    0.00    0.00    0.00    0.00    0.00   35.70
01:54:44 PM  all    0.25    0.00    0.00   58.90    0.00    0.25    0.00    0.00    0.00   40.60
01:54:45 PM  all    0.00    0.00    0.25   70.85    0.00    0.00    0.00    0.00    0.00   28.89
01:54:46 PM  all    0.00    0.00    0.00   87.91    0.00    0.25    0.00    0.00    0.00   11.84
01:54:47 PM  all    0.25    0.00    0.25   60.25    0.00    0.25    0.00    0.00    0.00   39.00
01:54:48 PM  all    0.50    0.00    0.50   53.25    0.00    0.00    0.00    0.00    0.00   45.75
01:54:49 PM  all    0.00    0.00    0.00   54.94    0.00    0.00    0.00    0.00    0.00   45.06
01:54:50 PM  all    0.00    0.00    0.00   61.87    0.00    0.25    0.00    0.00    0.00   37.88
01:54:51 PM  all    0.25    0.00    0.00   67.25    0.00    0.00    0.00    0.00    0.00   32.49
01:54:52 PM  all    0.00    0.00    0.25   64.90    0.00    0.00    0.00    0.00    0.00   34.85
01:54:53 PM  all    0.00    0.00    0.00    8.54    0.00    0.00    0.00    0.00    0.00   91.46
01:54:54 PM  all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
01:54:55 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:54:56 PM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
01:54:57 PM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.75
01:54:58 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:54:59 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:55:00 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:55:01 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:55:02 PM  all    0.25    0.00    0.25    0.25    0.00    0.00    0.00    0.00    0.00   99.25
