Linux 5.15.0-173-generic (csb-bench-host-huawei) 	08/16/2026 	_x86_64_	(4 CPU)

11:47:21 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:47:22 PM  all   28.77    0.00    8.77    0.00    0.00   18.90    0.00    0.00    0.00   43.56
11:47:23 PM  all   29.55    0.00    7.95    0.00    0.00   14.77    0.00    0.00    0.00   47.73
11:47:24 PM  all   31.41    0.00    7.49    0.00    0.00   17.58    0.00    0.00    0.00   43.52
11:47:25 PM  all   28.80    0.00    9.87    0.00    0.00   29.07    0.00    0.00    0.00   32.27
11:47:26 PM  all   29.38    0.00    8.47    0.00    0.00   26.84    0.00    0.00    0.00   35.31
11:47:27 PM  all   33.51    0.00    7.51    0.00    0.00   28.15    0.00    0.00    0.00   30.83
11:47:28 PM  all   29.59    0.00    8.22    0.00    0.00   28.49    0.00    0.00    0.00   33.70
11:47:29 PM  all   32.01    0.00    8.78    0.00    0.00   23.51    0.00    0.00    0.00   35.69
11:47:30 PM  all   29.40    0.00    7.42    0.00    0.00   24.73    0.00    0.00    0.00   38.46
11:47:31 PM  all   31.02    0.00    7.76    0.00    0.00   23.82    0.00    0.00    0.00   37.40
11:47:32 PM  all   30.29    0.00    9.65    0.00    0.00   27.61    0.00    0.00    0.00   32.44
11:47:33 PM  all   30.32    0.00    8.51    0.00    0.00   30.85    0.00    0.00    0.00   30.32
11:47:34 PM  all   30.38    0.00    6.99    0.00    0.00   26.34    0.00    0.00    0.00   36.29
11:47:35 PM  all   29.75    0.00    7.44    0.00    0.00   28.37    0.00    0.00    0.00   34.44
11:47:36 PM  all   30.13    0.00    8.53    0.00    0.00   29.33    0.00    0.00    0.00   32.00
11:47:37 PM  all   30.43    0.00    8.97    0.00    0.00   33.42    0.00    0.00    0.00   27.17
11:47:38 PM  all   27.86    0.00    9.47    0.00    0.00   25.35    0.00    0.00    0.00   37.33
11:47:39 PM  all   30.00    0.00    9.72    0.00    0.00   29.17    0.00    0.00    0.00   31.11
11:47:40 PM  all   31.53    0.00    7.67    0.00    0.00   21.31    0.00    0.00    0.00   39.49
11:47:41 PM  all   29.43    0.00    8.00    0.00    0.00   20.29    0.00    0.00    0.00   42.29
11:47:42 PM  all   30.42    0.00    7.89    0.85    0.00   25.92    0.00    0.00    0.00   34.93
11:47:43 PM  all   33.42    0.00    7.16    0.00    0.00   30.77    0.00    0.00    0.00   28.65
11:47:44 PM  all   28.80    0.00    9.24    0.00    0.00   29.62    0.00    0.00    0.00   32.34
11:47:45 PM  all   26.92    0.00    7.69    0.00    0.00   24.18    0.00    0.00    0.00   41.21
11:47:46 PM  all   33.24    0.00    8.45    0.00    0.00   26.70    0.00    0.00    0.00   31.61
11:47:47 PM  all   30.05    0.00    7.45    0.27    0.00   26.60    0.00    0.00    0.00   35.64
11:47:48 PM  all   29.33    0.00    7.82    0.00    0.00   24.02    0.00    0.00    0.00   38.83
11:47:49 PM  all   30.03    0.00    8.82    0.00    0.00   24.24    0.00    0.00    0.00   36.91
11:47:50 PM  all   30.66    0.00    8.84    0.00    0.00   30.94    0.00    0.00    0.00   29.56
11:47:51 PM  all   30.19    0.00    8.03    0.00    0.00   24.93    0.00    0.00    0.00   36.84
11:47:52 PM  all   34.07    0.00    6.87    0.00    0.00   25.55    0.00    0.00    0.00   33.52
11:47:53 PM  all   32.84    0.00    7.40    0.00    0.00   21.60    0.00    0.00    0.00   38.17
11:47:54 PM  all   30.28    0.00    6.39    0.00    0.00   25.56    0.00    0.00    0.00   37.78
11:47:55 PM  all   26.72    0.00    9.09    0.00    0.00   23.14    0.00    0.00    0.00   41.05
11:47:56 PM  all   29.86    0.00    7.40    0.00    0.00   24.93    0.00    0.00    0.00   37.81
11:47:57 PM  all   33.61    0.00    9.29    0.00    0.00   29.51    0.00    0.00    0.00   27.60
11:47:58 PM  all   33.42    0.00    9.14    0.00    0.00   33.16    0.00    0.00    0.00   24.28
11:47:59 PM  all   29.16    0.00    8.17    0.00    0.00   29.97    0.00    0.00    0.00   32.70
11:48:00 PM  all   33.61    0.00    8.26    0.00    0.00   31.96    0.00    0.00    0.00   26.17
11:48:01 PM  all   26.30    0.00    9.86    0.00    0.00   32.33    0.00    0.00    0.00   31.51
11:48:02 PM  all   25.56    0.00    6.39    0.00    0.00   11.39    0.00    0.00    0.00   56.67
11:48:03 PM  all   28.57    0.00   10.00    0.00    0.00   16.00    0.00    0.00    0.00   45.43
11:48:04 PM  all   16.71    0.00    4.53    0.00    0.00    6.52    0.00    0.00    0.00   72.24
11:48:05 PM  all    6.02    0.00    1.31    0.00    0.00    0.52    0.00    0.00    0.00   92.15
11:48:06 PM  all    0.50    0.00    0.75    0.00    0.00    0.25    0.00    0.00    0.00   98.50
11:48:07 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:48:08 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:48:09 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:48:10 PM  all    1.49    0.00    0.50    0.00    0.00    0.25    0.00    0.00    0.00   97.76
11:48:11 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:48:12 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:48:13 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:48:14 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:48:15 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
